date,home_team,away_team,neutral,tournament,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,elo_diff,home_elo,away_elo,h2h_home_win_rate,h2h_avg_goal_diff,result
1916-07-02,Chile,Uruguay,True,Copa América,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,-413.0,1500.0,1913.0,0.5,0.0,away_win
1916-07-06,Argentina,Chile,False,Copa América,0.5,0.22,1.5,1.5,0.0,0.0,0.0,4.0,440.0,1940.0,1500.0,0.5,0.0,home_win
1916-07-08,Brazil,Chile,True,Copa América,0.5,0.22,1.5,1.5,0.0,0.0,0.5,5.0,410.0,1910.0,1500.0,0.5,0.0,draw
1916-07-10,Argentina,Brazil,False,Copa América,1.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,30.0,1940.0,1910.0,0.5,0.0,draw
1916-07-12,Brazil,Uruguay,True,Copa América,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,-3.0,1910.0,1913.0,0.5,0.0,away_win
1916-07-17,Argentina,Uruguay,False,Copa América,0.5,0.5,3.5,1.0,1.0,0.0,3.0,0.5,27.0,1940.0,1913.0,0.5,0.0,draw
1917-09-30,Uruguay,Chile,False,Copa América,0.6666666666666666,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,3.6666666666666665,390.0,1890.0,1500.0,0.5,0.0,home_win
1917-10-03,Argentina,Brazil,True,Copa América,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,1.0,1.3333333333333333,82.0,1970.0,1888.0,0.5,0.0,home_win
1917-10-06,Argentina,Chile,True,Copa América,0.5,0.5,2.75,1.0,0.0,0.25,0.5,3.75,470.0,1970.0,1500.0,0.5,0.0,home_win
1917-10-07,Uruguay,Brazil,False,Copa América,0.75,0.25,2.5,0.25,0.0,0.5,1.25,2.0,2.0,1890.0,1888.0,0.5,0.0,home_win
1917-10-12,Brazil,Chile,True,Copa América,0.0,0.4,1.0,2.4,0.0,0.2,0.4,3.2,388.0,1888.0,1500.0,0.5,0.0,home_win
1917-10-14,Uruguay,Argentina,False,Copa América,0.8,0.2,2.8,0.2,0.6,0.4,2.4,0.8,-80.0,1890.0,1970.0,0.5,0.0,home_win
1919-05-11,Brazil,Chile,False,Copa América,0.16666666666666666,0.3333333333333333,1.6666666666666667,2.0,0.0,0.16666666666666666,0.3333333333333333,3.5,331.0,1831.0,1500.0,0.5,0.0,home_win
1919-05-13,Argentina,Uruguay,True,Copa América,0.5,0.3333333333333333,2.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,2.5,0.16666666666666666,53.0,1986.0,1933.0,0.5,0.0,away_win
1919-05-17,Chile,Uruguay,True,Copa América,0.0,0.14285714285714285,0.2857142857142857,3.857142857142857,0.8571428571428571,0.14285714285714285,2.5714285714285716,0.42857142857142855,-433.0,1500.0,1933.0,0.5,0.0,away_win
1919-05-18,Brazil,Argentina,False,Copa América,0.2857142857142857,0.2857142857142857,2.2857142857142856,1.7142857142857142,0.42857142857142855,0.2857142857142857,2.0,1.1428571428571428,-155.0,1831.0,1986.0,0.5,0.0,home_win
1919-05-22,Argentina,Chile,True,Copa América,0.375,0.25,1.875,1.375,0.0,0.125,0.25,3.625,486.0,1986.0,1500.0,0.5,0.0,home_win
1919-05-26,Brazil,Uruguay,False,Copa América,0.375,0.25,2.375,1.625,0.875,0.125,2.5,0.375,-102.0,1831.0,1933.0,0.5,0.0,draw
1919-05-29,Brazil,Uruguay,False,Copa América,0.3333333333333333,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.7777777777777778,0.2222222222222222,2.4444444444444446,0.5555555555555556,-102.0,1831.0,1933.0,0.0,-1.6666666666666667,home_win
