match_id,stage,date,kickoff_time,venue,city,country,home_slot,away_slot,home_team,away_team,home_goals,away_goals,status,score_display,is_resolved,resolution_source
537417,Round of 32,2026-06-28,19:00,MetLife Stadium,East Rutherford,USA,2A,2B,South Africa,Canada,,,TIMED,TBD,True,official_slot_map+computed_group_standings
537423,Round of 32,2026-06-29,17:00,AT&T Stadium,Arlington,USA,1E,3A/B/C/D/F,Germany,,,,TIMED,TBD,False,computed_group_standings+unresolved_third_place_rule
537415,Round of 32,2026-06-29,20:30,NRG Stadium,Houston,USA,1F,2C,Netherlands,Morocco,,,TIMED,TBD,True,official_slot_map+computed_group_standings
537418,Round of 32,2026-06-30,01:00,Rose Bowl,Pasadena,USA,1C,2F,Brazil,Japan,,,TIMED,TBD,True,official_slot_map+computed_group_standings
537424,Round of 32,2026-06-30,17:00,SoFi Stadium,Inglewood,USA,1I,3C/D/F/G/H,France,,,,TIMED,TBD,False,computed_group_standings+unresolved_third_place_rule
537416,Round of 32,2026-06-30,21:00,Lumen Field,Seattle,USA,2E,2I,Ivory Coast,Norway,,,TIMED,TBD,True,official_slot_map+computed_group_standings
537425,Round of 32,2026-07-01,01:00,Mercedes-Benz Stadium,Atlanta,USA,1A,3C/E/F/H/I,Mexico,,,,TIMED,TBD,False,computed_group_standings+unresolved_third_place_rule
537426,Round of 32,2026-07-01,16:00,Hard Rock Stadium,Miami,USA,1L,3E/H/I/J/K,,,,,TIMED,TBD,False,unresolved_incomplete_group+unresolved_third_place_rule
537422,Round of 32,2026-07-01,20:00,Lincoln Financial Field,Philadelphia,USA,1D,3B/E/F/I/J,United States,,,,TIMED,TBD,False,computed_group_standings+unresolved_third_place_rule
537421,Round of 32,2026-07-02,00:00,Arrowhead Stadium,Kansas City,USA,1G,3A/E/H/I/J,Belgium,,,,TIMED,TBD,False,computed_group_standings+unresolved_third_place_rule
537420,Round of 32,2026-07-02,19:00,Gillette Stadium,Foxborough,USA,2K,2L,,,,,TIMED,TBD,False,unresolved_incomplete_group
537419,Round of 32,2026-07-02,23:00,BC Place,Vancouver,Canada,1H,2J,Spain,,,,TIMED,TBD,False,computed_group_standings+unresolved_incomplete_group
537429,Round of 32,2026-07-03,03:00,BMO Field,Toronto,Canada,1B,3E/F/G/I/J,Switzerland,,,,TIMED,TBD,False,computed_group_standings+unresolved_third_place_rule
537428,Round of 32,2026-07-03,18:00,Estadio BBVA,Monterrey,Mexico,1J,2H,,Cape Verde Islands,,,TIMED,TBD,False,computed_group_standings+unresolved_incomplete_group
537427,Round of 32,2026-07-03,22:00,Estadio Akron,Guadalajara,Mexico,1K,3D/E/I/J/L,,,,,TIMED,TBD,False,unresolved_incomplete_group+unresolved_third_place_rule
537430,Round of 32,2026-07-04,01:30,Estadio Azteca,Mexico City,Mexico,2D,2G,Australia,Egypt,,,TIMED,TBD,True,official_slot_map+computed_group_standings
537376,Round of 16,2026-07-04,17:00,AT&T Stadium,Arlington,USA,W73,W75,,,,,TIMED,TBD,False,unresolved_future_round
537375,Round of 16,2026-07-04,21:00,MetLife Stadium,East Rutherford,USA,W74,W77,,,,,TIMED,TBD,False,unresolved_future_round
537377,Round of 16,2026-07-05,20:00,Rose Bowl,Pasadena,USA,W76,W78,,,,,TIMED,TBD,False,unresolved_future_round
537378,Round of 16,2026-07-06,00:00,NRG Stadium,Houston,USA,W79,W80,,,,,TIMED,TBD,False,unresolved_future_round
537379,Round of 16,2026-07-06,19:00,SoFi Stadium,Inglewood,USA,W83,W84,,,,,TIMED,TBD,False,unresolved_future_round
537380,Round of 16,2026-07-07,00:00,Lumen Field,Seattle,USA,W81,W82,,,,,TIMED,TBD,False,unresolved_future_round
537381,Round of 16,2026-07-07,16:00,Hard Rock Stadium,Miami,USA,W86,W88,,,,,TIMED,TBD,False,unresolved_future_round
537382,Round of 16,2026-07-07,20:00,Mercedes-Benz Stadium,Atlanta,USA,W85,W87,,,,,TIMED,TBD,False,unresolved_future_round
537383,Quarter-final,2026-07-09,20:00,AT&T Stadium,Arlington,USA,W89,W90,,,,,TIMED,TBD,False,unresolved_future_round
537384,Quarter-final,2026-07-10,19:00,MetLife Stadium,East Rutherford,USA,W93,W94,,,,,TIMED,TBD,False,unresolved_future_round
537385,Quarter-final,2026-07-11,21:00,Rose Bowl,Pasadena,USA,W91,W92,,,,,TIMED,TBD,False,unresolved_future_round
537386,Quarter-final,2026-07-12,01:00,NRG Stadium,Houston,USA,W95,W96,,,,,TIMED,TBD,False,unresolved_future_round
537387,Semi-final,2026-07-14,19:00,AT&T Stadium,Arlington,USA,W97,W98,,,,,TIMED,TBD,False,unresolved_future_round
537388,Semi-final,2026-07-15,19:00,MetLife Stadium,East Rutherford,USA,W99,W100,,,,,TIMED,TBD,False,unresolved_future_round
537389,3rd Place Match,2026-07-18,21:00,Hard Rock Stadium,Miami,USA,L101,L102,,,,,TIMED,TBD,False,unresolved_future_round
537390,Final,2026-07-19,19:00,MetLife Stadium,East Rutherford,USA,W101,W102,,,,,TIMED,TBD,False,unresolved_future_round
