player_name,team,position,age,nationality,club,photo_url
Achref Abada,Algeria,Defender,,,,
Adil Boulbina,Algeria,Forward,,,,
Aissa Mandi,Algeria,Defender,,,,
Amine Gouiri,Algeria,Forward,,,,
Anis Hadj Moussa,Algeria,Forward,,,,
Fares Chaibi,Algeria,Midfielder,,,,
Fares GhedJemis,Algeria,Forward,,,,
Hicham Boudaoui,Algeria,Midfielder,,,,
Houssem Aouar,Algeria,Midfielder,,,,
Ibrahim Maza,Algeria,Midfielder,,,,
Jaouen Hadjam,Algeria,Defender,,,,
Luca Zidane,Algeria,Goalkeeper,,,,
Melvin Mastil,Algeria,Goalkeeper,,,,
Mohamed Amine Tougai,Algeria,Defender,,,,
Mohamed El Amine Amoura,Algeria,Forward,,,,
Nabil Bentaleb,Algeria,Midfielder,,,,
Nadhir Benbouali,Algeria,Forward,,,,
Oussama Benbot,Algeria,Goalkeeper,,,,
Rafik Belghali,Algeria,Defender,,,,
Ramiz Zerrouki,Algeria,Midfielder,,,,
Ramy Bensebaini,Algeria,Defender,,,,
Rayan Ait-Nouri,Algeria,Defender,,,,
Riyad Mahrez,Algeria,Forward,,,,
Samir Chergui,Algeria,Defender,,,,
Yacine Titraoui,Algeria,Midfielder,,,,
Zineddine Belaid,Algeria,Defender,,,,
Alexis Mac Allister,Argentina,Midfielder,,,,
Cristian Romero,Argentina,Defender,,,,
Emiliano Martinez,Argentina,Goalkeeper,,,,
Enzo Fernandez,Argentina,Midfielder,,,,
Exequiel Palacios,Argentina,Midfielder,,,,
Facundo Medina,Argentina,Defender,,,,
Geronimo Rulli,Argentina,Goalkeeper,,,,
Giovani Lo Celso,Argentina,Midfielder,,,,
Giuliano Simeone,Argentina,Forward,,,,
Gonzalo Montiel,Argentina,Defender,,,,
Jose Manuel Lopez,Argentina,Forward,,,,
Juan Musso,Argentina,Goalkeeper,,,,
Julian Alvarez,Argentina,Forward,,,,
Lautaro Martinez,Argentina,Forward,,,,
Leandro Paredes,Argentina,Midfielder,,,,
Lionel Messi,Argentina,Forward,,,,
Lisandro Martinez,Argentina,Defender,,,,
Marcos Senesi,Argentina,Defender,,,,
Nahuel Molina,Argentina,Defender,,,,
Nico Paz,Argentina,Midfielder,,,,
Nicolas Gonzalez,Argentina,Forward,,,,
Nicolas Otamendi,Argentina,Defender,,,,
Nicolas Tagliafico,Argentina,Defender,,,,
Rodrigo de Paul,Argentina,Midfielder,,,,
Thiago Almada,Argentina,Midfielder,,,,
Valentin Barco,Argentina,Defender,,,,
Aiden O'Neill,Australia,Midfielder,,,,
Ajdin Hrustic,Australia,Midfielder,,,,
Alessandro Circati,Australia,Defender,,,,
Awer Mabil,Australia,Midfielder,,,,
Aziz Behich,Australia,Midfielder,,,,
Cameron Burgess,Australia,Defender,,,,
Cameron Devlin,Australia,Midfielder,,,,
Connor Metcalfe,Australia,Midfielder,,,,
Cristian Volpato,Australia,Midfielder,,,,
Harry Souttar,Australia,Defender,,,,
Jackson Irvine,Australia,Midfielder,,,,
Jacob Italiano,Australia,Defender,,,,
Jason Geria,Australia,Defender,,,,
Jordan Bos,Australia,Defender,,,,
Kai Trewin,Australia,Defender,,,,
Lucas Herrington,Australia,Defender,,,,
Mathew Leckie,Australia,Forward,,,,
