player_name,team,position,appearances,starts,substitute_appearances,goals,assists,minutes_played,passes,pass_accuracy,key_passes,shots,shots_on_target,tackles,interceptions,dribbles,duels_won,fouls_won,yellow_cards,red_cards
Achref Abada,Algeria,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Adil Boulbina,Algeria,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Aissa Mandi,Algeria,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Amine Gouiri,Algeria,Forward,3,3,0,1,0,,,,,,,,,,,,0,0
Anis Hadj Moussa,Algeria,Forward,2,1,2,0,0,,,,,,,,,,,,0,0
Fares Chaibi,Algeria,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Fares GhedJemis,Algeria,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Hicham Boudaoui,Algeria,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Houssem Aouar,Algeria,Midfielder,2,1,2,0,2,,,,,,,,,,,,0,0
Ibrahim Maza,Algeria,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Jaouen Hadjam,Algeria,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Luca Zidane,Algeria,Goalkeeper,2,2,1,0,0,,,,,,,,,,,,0,0
Melvin Mastil,Algeria,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Mohamed Amine Tougai,Algeria,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Mohamed El Amine Amoura,Algeria,Forward,1,0,1,0,0,,,,,,,,,,,,0,0
Nabil Bentaleb,Algeria,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Nadhir Benbouali,Algeria,Forward,1,0,3,1,0,,,,,,,,,,,,0,0
Oussama Benbot,Algeria,Goalkeeper,1,1,2,0,0,,,,,,,,,,,,0,0
Rafik Belghali,Algeria,Defender,3,3,0,1,0,,,,,,,,,,,,0,0
Ramiz Zerrouki,Algeria,Midfielder,2,1,2,0,0,,,,,,,,,,,,1,0
Ramy Bensebaini,Algeria,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Rayan Ait-Nouri,Algeria,Defender,3,2,1,0,0,,,,,,,,,,,,0,0
Riyad Mahrez,Algeria,Forward,3,2,1,2,1,,,,,,,,,,,,0,0
Samir Chergui,Algeria,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Yacine Titraoui,Algeria,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Zineddine Belaid,Algeria,Defender,2,0,3,0,0,,,,,,,,,,,,0,0
Alexis Mac Allister,Argentina,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Cristian Romero,Argentina,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Emiliano Martinez,Argentina,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Enzo Fernandez,Argentina,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Exequiel Palacios,Argentina,Midfielder,1,1,2,0,0,,,,,,,,,,,,0,0
Facundo Medina,Argentina,Defender,2,2,1,0,1,,,,,,,,,,,,1,0
Geronimo Rulli,Argentina,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Giovani Lo Celso,Argentina,Midfielder,1,1,2,1,0,,,,,,,,,,,,0,0
Giuliano Simeone,Argentina,Forward,1,1,1,0,0,,,,,,,,,,,,0,0
Gonzalo Montiel,Argentina,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Jose Manuel Lopez,Argentina,Forward,1,0,1,0,0,,,,,,,,,,,,0,0
Juan Musso,Argentina,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Julian Alvarez,Argentina,Forward,3,1,2,0,0,,,,,,,,,,,,0,0
Lautaro Martinez,Argentina,Forward,3,3,0,1,0,,,,,,,,,,,,0,0
Leandro Paredes,Argentina,Midfielder,2,1,2,0,0,,,,,,,,,,,,1,0
Lionel Messi,Argentina,Forward,3,2,1,6,0,,,,,,,,,,,,0,0
Lisandro Martinez,Argentina,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Marcos Senesi,Argentina,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Nahuel Molina,Argentina,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Nico Paz,Argentina,Midfielder,2,1,2,0,0,,,,,,,,,,,,0,0
Nicolas Gonzalez,Argentina,Forward,2,0,3,0,1,,,,,,,,,,,,0,0
Nicolas Otamendi,Argentina,Defender,3,1,2,0,0,,,,,,,,,,,,0,0
Nicolas Tagliafico,Argentina,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Rodrigo de Paul,Argentina,Midfielder,2,2,1,0,1,,,,,,,,,,,,0,0
Thiago Almada,Argentina,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Valentin Barco,Argentina,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Aiden O'Neill,Australia,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Ajdin Hrustic,Australia,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Alessandro Circati,Australia,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Awer Mabil,Australia,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Aziz Behich,Australia,Midfielder,2,1,2,0,0,,,,,,,,,,,,0,0
Cameron Burgess,Australia,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Cameron Devlin,Australia,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Connor Metcalfe,Australia,Midfielder,3,2,1,1,0,,,,,,,,,,,,0,0
Cristian Volpato,Australia,Midfielder,2,1,2,0,0,,,,,,,,,,,,0,0
Harry Souttar,Australia,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Jackson Irvine,Australia,Midfielder,3,1,2,0,0,,,,,,,,,,,,1,0
Jacob Italiano,Australia,Defender,2,2,0,0,0,,,,,,,,,,,,1,0
Jason Geria,Australia,Defender,2,0,3,0,0,,,,,,,,,,,,0,0
Jordan Bos,Australia,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Kai Trewin,Australia,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Lucas Herrington,Australia,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Mathew Leckie,Australia,Forward,1,1,1,0,0,,,,,,,,,,,,0,0
Matthew Ryan,Australia,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Milos Degenek,Australia,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Mohamed Toure,Australia,Forward,2,2,1,0,0,,,,,,,,,,,,0,0
Nestory Irankunda,Australia,Forward,3,2,1,1,0,,,,,,,,,,,,0,0
Nishan Velupillay,Australia,Forward,2,1,2,0,0,,,,,,,,,,,,0,0
Patrick Beach,Australia,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Paul Izzo,Australia,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Paul Okom-Engstler,Australia,Midfielder,3,2,1,0,1,,,,,,,,,,,,0,0
Tete Yengi,Australia,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Alessandro Schopf,Austria,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Alexander Prass,Austria,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Alexander Schlager,Austria,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
